conversation_ID,emotion_utterance_ID,emotion,cause_utterance_ID,emotion_cause
1,3,surprise,1,I realize I am totally naked .
1,3,surprise,3,"Then I look down , and I realize there is a phone ... there ."
1,4,surprise,1,I realize I am totally naked .
1,4,surprise,3,"Then I look down , and I realize there is a phone ... there ."
1,4,surprise,4,Instead of ...
1,5,anger,1,I realize I am totally naked .
1,5,anger,3,"Then I look down , and I realize there is a phone ... there ."
1,5,anger,4,Instead of ...
2,1,sadness,1,I do not want to be single
2,3,surprise,3,Rachel ? !
3,3,sadness,3,I should have caught on when she started going to the dentist four and five times a week .
3,6,surprise,4,How did you get through it ?
3,6,surprise,5,"you might try accidentally breaking something valuable of hers , say her ..."
3,6,surprise,6,leg ?
3,7,joy,5,"you might try accidentally breaking something valuable of hers , say her ..."
3,7,joy,6,leg ?
3,7,joy,7,That is one way !
3,9,surprise,5,you might try accidentally breaking something valuable of hers
3,9,surprise,8,I went for the watch .
3,9,surprise,9,You actually broke her watch ?
5,1,joy,3,I am gonna go get one of those job things .
5,3,joy,3,I am gonna go get one of those job things .
6,3,surprise,1,"you probably did not know this , but back in high school , I had a , um , major crush on you ."
6,3,surprise,2,I knew .
6,3,surprise,3,You did !
6,6,sadness,4,I always figured you just thought I was Monica geeky older brother .
6,6,sadness,5,I did .
6,8,joy,7,do you think it would be okay if I asked you out ?
7,1,sadness,1,"What that Rachel did to her life ... We ran into her parents at the club , they were not playing very well ."
7,2,surprise,2,what they spent on that wedding ... but forty thousand dollars is a lot of money !
7,4,surprise,3,at least she had the chance to leave a man at the altar ...
7,4,surprise,4,What that supposed to mean ?
8,1,sadness,1,"I am late , I was stuck at work . There was this big dinosaur ... thing ..."
8,12,joy,12,she is very supportive .
8,13,joy,11,she ... uh ... familiar with our ... special situation ?
8,13,joy,12,"Yes , and she is very supportive ."
8,13,joy,13,that is great .
8,17,surprise,17,That opens my cervix .
9,3,surprise,2,C mon in .
9,5,surprise,4,Robbie gonna be here for hours .
10,2,joy,2,I ... I got a job .
10,3,joy,2,I ... I got a job .
10,3,joy,3,that is great .
10,4,surprise,4,why are you so tanned ?
11,1,disgust,1,"I bring a guy home , and within five minutes they are all over him . I mean , they are like ... coyotes , picking off the weak members of the herd ."
11,4,sadness,4,"I just wish that once , I would bring a guy home that they actually liked ."
12,2,anger,1,Let it go
12,9,surprise,8,We have credited your account with five hundred dollars .
12,9,surprise,9,"We are sorry for the inconvenience , and hope you will accept this football phone ... as our free gift ."
12,9,surprise,9,"Now I have a thousand dollars , and a football phone !"
12,9,surprise,9,"We are sorry for the inconvenience , and hope you will accept this football phone ... as our free gift ."
12,9,surprise,9,"Now I have a thousand dollars , and a football phone !"
13,3,joy,3,WE WON ! !
13,4,surprise,3,WE WON ! !
13,6,joy,6,"He was unbelievable . He was like that ... that ... that Bugs Bunny cartoon where Bugs is playing all the positions , right , but instead of Bugs it was first base ... Alan , second base ... Alan , third base ..."
13,6,joy,3,WE WON ! !
13,7,joy,7,he made us into a team .
13,7,joy,3,WE WON ! !
13,8,joy,8,we sure showed those Hassidic jewellers a thing or two about softball ...
13,8,joy,3,WE WON ! !
13,10,surprise,9,Do you ever think that Alan is maybe ... sometimes ...
13,12,surprise,9,Do you ever think that Alan is maybe ... sometimes ...
13,12,surprise,11,a little too Alan ?
13,13,joy,13,"it is his , uh , innate Alan ... ness that ... that ... that we adore ."
14,4,anger,4,do that
14,5,disgust,5,It is worse than the thumb !
14,6,anger,4,do not do that ! Cut it out !
14,6,anger,5,It is worse than the thumb !
14,6,anger,6,this is so unfair !
14,6,anger,14,"... I accept all those flaws , why can not you accept me for this ?"
14,7,surprise,6,this is so unfair !
14,7,surprise,7,why is it unfair ?
14,8,anger,4,do not do that ! Cut it out !
14,8,anger,5,It is worse than the thumb !
14,8,anger,6,this is so unfair !
14,8,anger,14,"... I accept all those flaws , why can not you accept me for this ?"
14,9,anger,4,do not do that ! Cut it out !
14,9,anger,5,It is worse than the thumb !
14,9,anger,6,this is so unfair !
14,9,anger,14,"... I accept all those flaws , why can not you accept me for this ?"
14,10,anger,4,do not do that ! Cut it out !
14,10,anger,5,It is worse than the thumb !
14,10,anger,6,this is so unfair !
14,10,anger,14,"... I accept all those flaws , why can not you accept me for this ?"
14,11,anger,4,do not do that ! Cut it out !
